mask     ok?       cycles      CM/MHz  passes
0x24b    pass      797035    1.331685  [fold_br,dead_blocks,cse,licm_const,leg_e]
0x348    pass      797035    1.331685  [cse,licm_const,unroll,leg_e]
0x349    pass      797035    1.331685  [fold_br,cse,licm_const,unroll,leg_e]
0x34a    pass      797035    1.331685  [dead_blocks,cse,licm_const,unroll,leg_e]
0x34b    pass      797035    1.331685  [fold_br,dead_blocks,cse,licm_const,unroll,leg_e]
0x448    pass      794312    1.331768  [cse,licm_const,leg_f]
0x449    pass      794312    1.331768  [fold_br,cse,licm_const,leg_f]
0x44a    pass      794312    1.331768  [dead_blocks,cse,licm_const,leg_f]
0x44b    pass      794312    1.331768  [fold_br,dead_blocks,cse,licm_const,leg_f]
0x548    pass      794312    1.331768  [cse,licm_const,unroll,leg_f]
0x549    pass      794312    1.331768  [fold_br,cse,licm_const,unroll,leg_f]
0x54a    pass      794312    1.331768  [dead_blocks,cse,licm_const,unroll,leg_f]
0x54b    pass      794312    1.331768  [fold_br,dead_blocks,cse,licm_const,unroll,leg_f]
0x244    pass      797590    1.331980  [copy_prop,licm_const,leg_e]
0x245    pass      797590    1.331980  [fold_br,copy_prop,licm_const,leg_e]
0x344    pass      797590    1.331980  [copy_prop,licm_const,unroll,leg_e]
0x345    pass      797590    1.331980  [fold_br,copy_prop,licm_const,unroll,leg_e]
0x06c    pass      797447    1.331996  [copy_prop,cse,narrow_loads,licm_const]
0x06d    pass      797447    1.331996  [fold_br,copy_prop,cse,narrow_loads,licm_const]
0x16c    pass      797447    1.331996  [copy_prop,cse,narrow_loads,licm_const,unroll]
0x16d    pass      797447    1.331996  [fold_br,copy_prop,cse,narrow_loads,licm_const,unroll]
0x246    pass      797444    1.331997  [dead_blocks,copy_prop,licm_const,leg_e]
0x247    pass      797444    1.331997  [fold_br,dead_blocks,copy_prop,licm_const,leg_e]
0x346    pass      797444    1.331997  [dead_blocks,copy_prop,licm_const,unroll,leg_e]
0x347    pass      797444    1.331997  [fold_br,dead_blocks,copy_prop,licm_const,unroll,leg_e]
0x24c    pass      796795    1.332004  [copy_prop,cse,licm_const,leg_e]
0x24d    pass      796795    1.332004  [fold_br,copy_prop,cse,licm_const,leg_e]
0x34c    pass      796795    1.332004  [copy_prop,cse,licm_const,unroll,leg_e]
0x34d    pass      796795    1.332004  [fold_br,copy_prop,cse,licm_const,unroll,leg_e]
0x060    pass      798278    1.332013  [narrow_loads,licm_const]
0x061    pass      798278    1.332013  [fold_br,narrow_loads,licm_const]
0x062    pass      798278    1.332013  [dead_blocks,narrow_loads,licm_const]
0x063    pass      798278    1.332013  [fold_br,dead_blocks,narrow_loads,licm_const]
0x06e    pass      797301    1.332013  [dead_blocks,copy_prop,cse,narrow_loads,licm_const]
0x06f    pass      797301    1.332013  [fold_br,dead_blocks,copy_prop,cse,narrow_loads,licm_const]
0x160    pass      798278    1.332013  [narrow_loads,licm_const,unroll]
0x161    pass      798278    1.332013  [fold_br,narrow_loads,licm_const,unroll]
0x162    pass      798278    1.332013  [dead_blocks,narrow_loads,licm_const,unroll]
0x163    pass      798278    1.332013  [fold_br,dead_blocks,narrow_loads,licm_const,unroll]
